RNG_test using PractRand version 0.93
RNG = RNG_stdin, seed = 0x99dc689f
test set = normal, folding = standard(unknown format)

rng=RNG_stdin, seed=0x99dc689f
length= 128 megabytes (2^27 bytes), time= 2.4 seconds
  Test Name                         Raw       Processed     Evaluation
  BCFN(2+0,13-3,T)                  R=  +6.0  p = 0.011     normal           
  BCFN(2+1,13-3,T)                  R=  -0.2  p = 0.522     normal           
  BCFN(2+2,13-3,T)                  R=  -3.8  p = 0.948     normal           
  BCFN(2+3,13-3,T)                  R=  -2.1  p = 0.802     normal           
  BCFN(2+4,13-4,T)                  R=  -2.1  p = 0.800     normal           
  BCFN(2+5,13-5,T)                  R=  +0.9  p = 0.335     normal           
  BCFN(2+6,13-5,T)                  R=  +0.0  p = 0.471     normal           
  BCFN(2+7,13-6,T)                  R=  +0.1  p = 0.452     normal           
  BCFN(2+8,13-6,T)                  R=  -1.1  p = 0.657     normal           
  BCFN(2+9,13-7,T)                  R=  +1.4  p = 0.246     normal           
  BCFN(2+10,13-8,T)                 R=  -0.5  p = 0.519     normal           
  BCFN(2+11,13-8,T)                 R=  +0.8  p = 0.314     normal           
  BCFN(2+12,13-9,T)                 R=  +1.9  p = 0.170     normal           
  BCFN(2+13,13-9,T)                 R=  +0.2  p = 0.379     normal           
  DC6-9x1Bytes-1                    R=  -1.1  p = 0.824     normal           
  Gap-16:A                          R=  +0.7  p = 0.459     normal           
  Gap-16:B                          R=  +0.1  p = 0.477     normal           
  FPF-14+6/16:(0,14-0)              R=  +2.0  p = 0.081     normal           
  FPF-14+6/16:(1,14-0)              R=  -1.7  p = 0.885     normal           
  FPF-14+6/16:(2,14-0)              R=  -0.4  p = 0.604     normal           
  FPF-14+6/16:(3,14-1)              R=  +0.2  p = 0.451     normal           
  FPF-14+6/16:(4,14-2)              R=  +1.4  p = 0.169     normal           
  FPF-14+6/16:(5,14-2)              R=  -1.2  p = 0.801     normal           
  FPF-14+6/16:(6,14-3)              R=  -2.0  p = 0.929     normal           
