RNG_test using PractRand version 0.93
RNG = RNG_stdin, seed = 0x90eb260a
test set = normal, folding = standard(unknown format)

rng=RNG_stdin, seed=0x90eb260a
length= 128 megabytes (2^27 bytes), time= 2.4 seconds
  Test Name                         Raw       Processed     Evaluation
  BCFN(2+0,13-3,T)                  R=  -0.6  p = 0.578     normal           
  BCFN(2+1,13-3,T)                  R=  -6.3  p =1-2.6e-3   normal           
  BCFN(2+2,13-3,T)                  R=  +0.5  p = 0.407     normal           
  BCFN(2+3,13-3,T)                  R=  -4.9  p = 0.984     normal           
  BCFN(2+4,13-4,T)                  R=  +2.3  p = 0.170     normal           
  BCFN(2+5,13-5,T)                  R=  -2.6  p = 0.868     normal           
  BCFN(2+6,13-5,T)                  R=  -0.5  p = 0.550     normal           
  BCFN(2+7,13-6,T)                  R=  -2.6  p = 0.869     normal           
  BCFN(2+8,13-6,T)                  R=  -3.5  p = 0.950     normal           
  BCFN(2+9,13-7,T)                  R=  -0.0  p = 0.451     normal           
  BCFN(2+10,13-8,T)                 R=  -1.5  p = 0.728     normal           
  BCFN(2+11,13-8,T)                 R=  +0.1  p = 0.419     normal           
  BCFN(2+12,13-9,T)                 R=  +1.9  p = 0.170     normal           
  BCFN(2+13,13-9,T)                 R=  -2.2  p = 0.867     normal           
  DC6-9x1Bytes-1                    R=  -0.5  p = 0.742     normal           
  Gap-16:A                          R=  -0.6  p = 0.794     normal           
  Gap-16:B                          R=  -1.2  p = 0.802     normal           
  FPF-14+6/16:(0,14-0)              R=  +1.1  p = 0.230     normal           
  FPF-14+6/16:(1,14-0)              R=  +0.5  p = 0.362     normal           
  FPF-14+6/16:(2,14-0)              R=  +0.8  p = 0.299     normal           
  FPF-14+6/16:(3,14-1)              R=  +1.2  p = 0.202     normal           
  FPF-14+6/16:(4,14-2)              R=  -0.1  p = 0.516     normal           
  FPF-14+6/16:(5,14-2)              R=  +1.2  p = 0.194     normal           
  FPF-14+6/16:(6,14-3)              R=  +0.0  p = 0.499     normal           
  FPF-14+6/16:(7,14-4)              R=  -1.8  p = 0.902     normal           
  FPF-14+6/16:(8,14-5)              R=  +0.2  p = 0.439     normal           
  FPF-14+6/16:(9,14-5)              R=  +1.0  p = 0.235     normal           
  FPF-14+6/16:(10,14-6)             R=  +0.1  p = 0.459     normal           
  FPF-14+6/16:(11,14-7)             R=  +2.4  p = 0.052     normal           
  FPF-14+6/16:(12,14-8)             R=  +0.7  p = 0.303     normal           
  FPF-14+6/16:(13,14-8)             R=  -2.1  p = 0.945     normal           
  FPF-14+6/16:(14,14-9)             R=  -0.2  p = 0.530     normal           
  FPF-14+6/16:(15,14-10)            R=  -1.7  p = 0.914     normal           
  FPF-14+6/16:(16,14-11)            R=  +1.4  p = 0.147     normal           
  FPF-14+6/16:(17,14-11)            R=  -1.9  p = 0.965     normal           
  FPF-14+6/16:all                   R=  +1.8  p = 0.118     normal           
  FPF-14+6/16:all2                  R=  -0.4  p = 0.608     normal           
  FPF-14+6/16:cross                 R=  -0.2  p = 0.531     normal           
  BRank(12):128(4)                  R=  +1.7  p~= 0.060     normal           
  BRank(12):256(4)                  R=  -0.2  p~= 0.500     normal           
  BRank(12):384(1)                  R=  +1.8  p~= 0.146     normal           
